,Fecha,T3_TipoDato,T3_Periodo,Anyo,Valor
67,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,993701.0
68,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,937730.0
69,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2243605.0
70,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1155535.0
71,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1088070.0
72,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2282001.0
73,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1170868.0
74,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1111133.0
75,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2088070.0
76,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1071661.0
77,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1016409.0
78,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1999471.0
79,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1023019.0
80,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,976452.0
81,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2139114.0
82,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1089277.0
83,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1049837.0
84,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2413304.0
85,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1214887.0
86,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1198417.0
87,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,3084318.0
88,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1547177.0
89,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1537141.0
90,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,3510644.0
91,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1764902.0
92,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1745742.0
93,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,3372843.0
94,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1683977.0
95,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1688866.0
96,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,3267558.0
97,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1609488.0
98,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1658070.0
99,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2923989.0
100,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1419618.0
101,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1504371.0
102,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2457412.0
103,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1169621.0
104,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1287791.0
105,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2140053.0
106,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,990876.0
107,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1149177.0
108,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1825225.0
109,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,804996.0
110,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1020229.0
111,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1220306.0
112,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,501195.0
113,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,719111.0
114,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,965339.0
115,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,350301.0
116,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,615038.0
117,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,608732.0
118,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,179111.0
119,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,429621.0
120,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1690732.0
121,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,845226.0
122,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,845506.0
123,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,61284.0
124,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,31570.0
125,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,29714.0
126,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,73528.0
127,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,37672.0
128,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,35856.0
129,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,74160.0
130,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,38199.0
131,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,35961.0
132,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,70016.0
133,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,35487.0
134,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,34529.0
135,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,87621.0
136,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,42532.0
137,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,45089.0
138,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,115078.0
139,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,54866.0
140,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,60212.0
141,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,150651.0
142,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,71606.0
143,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,79045.0
144,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,177112.0
145,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,83636.0
146,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,93476.0
147,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,187431.0
148,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,93287.0
149,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,94144.0
150,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,171519.0
151,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,90209.0
152,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,81310.0
153,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,144332.0
154,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,75264.0
155,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,69068.0
156,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,110080.0
157,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,57001.0
158,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,53079.0
159,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,86294.0
160,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,43732.0
161,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,42562.0
162,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,67365.0
163,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,33511.0
164,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,33854.0
165,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,49683.0
166,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,24868.0
167,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,24815.0
168,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,32850.0
169,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,16498.0
170,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,16352.0
171,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,19831.0
172,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,9985.0
173,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,9846.0
174,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,8400.0
175,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,3979.0
176,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,4421.0
177,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,3497.0
178,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1324.0
179,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2173.0
180,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,40929.0
181,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,21032.0
182,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,19897.0
183,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,733.0
184,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,364.0
185,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,369.0
186,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1024.0
187,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,540.0
188,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,484.0
189,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1102.0
190,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,587.0
191,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,515.0
192,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1049.0
193,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,547.0
194,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,502.0
195,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1171.0
196,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,570.0
197,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,601.0
198,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1585.0
199,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,784.0
200,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,801.0
201,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1964.0
202,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1018.0
203,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,946.0
204,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1975.0
205,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1021.0
206,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,954.0
207,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,2487.0
208,2023-01-01T00:00:00.000+01:00,Final value,"January 1st,",2023,1330.0
