Hours,Price (€),Volume (MWh)
00h-01h,101.0,15397.1
01h-02h,96.96,13997.9
02h-03h,79.74,12944.1
03h-04h,71.91,12739.9
04h-05h,77.25,12714.2
05h-06h,70.66,12841.2
06h-07h,70.66,13049.7
07h-08h,65.5,13397.4
08h-09h,30.87,17252.9
09h-10h,0.0,21447.8
10h-11h,0.0,23157.3
11h-12h,-0.01,23550.7
12h-13h,-0.51,23723.6
13h-14h,-0.76,24021.0
14h-15h,-0.95,23048.5
15h-16h,-1.0,21769.9
16h-17h,-1.01,21088.7
17h-18h,-1.0,20696.3
18h-19h,-0.82,22142.3
19h-20h,0.0,24811.7
20h-21h,9.23,21993.8
21h-22h,41.1,19169.1
22h-23h,59.7,18999.6
23h-24h,46.89,18193.1
