Hours,Price (€),Volume (MWh)
00h-01h,101.7,17685.1
01h-02h,98.65,15955.0
02h-03h,101.01,14775.1
03h-04h,98.65,13972.1
04h-05h,96.86,13284.8
05h-06h,96.05,13119.1
06h-07h,94.75,13152.8
07h-08h,92.9,13339.0
08h-09h,67.74,15340.1
09h-10h,50.0,19537.6
10h-11h,9.96,24022.7
11h-12h,1.57,24762.0
12h-13h,0.44,25111.4
13h-14h,0.0,24035.7
14h-15h,-0.01,24591.4
15h-16h,0.0,26504.2
16h-17h,0.0,25894.6
17h-18h,0.0,25923.6
18h-19h,1.9,26249.5
19h-20h,6.15,23613.3
20h-21h,60.05,20301.4
21h-22h,87.93,17769.6
22h-23h,88.31,17346.5
23h-24h,80.68,16704.0
