Hours,Price (€),Volume (MWh)
00h-01h,105.48,17170.4
01h-02h,97.15,15631.0
02h-03h,97.15,15424.3
03h-04h,97.0,14878.8
04h-05h,97.15,14905.3
05h-06h,100.1,14561.1
06h-07h,98.7,15216.7
07h-08h,108.0,16628.1
08h-09h,98.45,18413.4
09h-10h,86.75,21884.2
10h-11h,73.28,24036.9
11h-12h,61.59,24845.3
12h-13h,61.38,25328.3
13h-14h,61.38,25626.5
14h-15h,60.31,25731.1
15h-16h,59.92,25817.2
16h-17h,59.79,25747.2
17h-18h,60.18,25412.8
18h-19h,67.77,25076.1
19h-20h,94.5,22995.4
20h-21h,109.11,21371.3
21h-22h,125.02,19533.1
22h-23h,115.0,19010.8
23h-24h,98.7,17342.3
