Hours,Price (€),Volume (MWh)
00h-01h,108.13,19512.2
01h-02h,100.5,18017.3
02h-03h,96.37,16842.4
03h-04h,96.08,16180.9
04h-05h,96.18,16113.0
05h-06h,97.48,16255.8
06h-07h,107.31,16892.7
07h-08h,111.94,18219.0
08h-09h,107.21,19783.1
09h-10h,93.58,22448.0
10h-11h,94.0,23428.5
11h-12h,90.98,23411.2
12h-13h,86.38,23977.2
13h-14h,84.61,24243.6
14h-15h,83.0,24245.7
15h-16h,79.21,24082.0
16h-17h,80.0,23682.5
17h-18h,90.0,23343.7
18h-19h,102.85,24661.9
19h-20h,121.22,25257.8
20h-21h,130.05,22785.7
21h-22h,138.23,20560.4
22h-23h,124.24,20137.8
23h-24h,113.22,18762.7
