Hours,Price (€),Volume (MWh)
00h-01h,98.7,13958.0
01h-02h,86.66,13028.1
02h-03h,85.94,12408.5
03h-04h,85.7,12093.7
04h-05h,83.43,12002.7
05h-06h,85.94,12134.5
06h-07h,89.72,12884.1
07h-08h,103.21,15172.0
08h-09h,100.61,18422.8
09h-10h,78.22,23579.4
10h-11h,54.6,25964.8
11h-12h,40.88,27084.1
12h-13h,35.0,28134.6
13h-14h,32.65,29140.1
14h-15h,31.98,29858.5
15h-16h,35.0,30253.9
16h-17h,35.0,30069.2
17h-18h,41.99,29287.0
18h-19h,44.88,28267.8
19h-20h,81.0,23519.6
20h-21h,103.21,22419.6
21h-22h,115.15,18728.0
22h-23h,109.0,17533.9
23h-24h,98.01,16112.0
