Hours,Price (€),Volume (MWh)
00h-01h,73.37,15287.4
01h-02h,67.3,13679.3
02h-03h,60.0,12929.0
03h-04h,66.54,13553.8
04h-05h,50.2,13648.9
05h-06h,51.9,14031.1
06h-07h,59.26,14013.1
07h-08h,87.57,15858.7
08h-09h,71.18,19023.2
09h-10h,50.03,24438.7
10h-11h,44.52,26230.5
11h-12h,35.01,26823.5
12h-13h,35.01,26898.4
13h-14h,35.0,26574.1
14h-15h,21.17,26721.3
15h-16h,15.02,26922.1
16h-17h,10.15,26673.7
17h-18h,21.17,26405.4
18h-19h,35.02,28070.7
19h-20h,49.28,26203.2
20h-21h,71.18,20219.1
21h-22h,80.79,18526.2
22h-23h,99.26,18744.3
23h-24h,87.46,18017.5
