Hours,Price (€),Volume (MWh)
00h-01h,107.51,15569.2
01h-02h,99.22,14159.5
02h-03h,97.94,13749.0
03h-04h,96.71,13566.7
04h-05h,96.71,13475.0
05h-06h,95.41,13394.2
06h-07h,96.8,13389.4
07h-08h,86.32,13073.2
08h-09h,46.0,17035.3
09h-10h,0.44,21093.8
10h-11h,-0.01,22149.2
11h-12h,-0.62,22354.1
12h-13h,-0.8,22679.9
13h-14h,-0.62,23418.1
14h-15h,-0.62,23524.5
15h-16h,-0.95,22689.2
16h-17h,-0.95,21844.2
17h-18h,0.0,25890.9
18h-19h,9.79,27316.5
19h-20h,44.81,25057.4
20h-21h,74.57,17297.2
21h-22h,99.31,15810.9
22h-23h,109.91,16542.6
23h-24h,97.89,14870.3
