Hours,Price (€),Volume (MWh)
00h-01h,95.92,16067.5
01h-02h,72.25,15608.1
02h-03h,77.0,15024.5
03h-04h,73.22,14577.3
04h-05h,66.71,14546.0
05h-06h,65.5,15362.0
06h-07h,80.0,15086.1
07h-08h,101.51,15378.1
08h-09h,88.33,17162.4
09h-10h,70.8,20861.7
10h-11h,46.63,24368.5
11h-12h,42.49,25489.2
12h-13h,33.76,26457.5
13h-14h,22.98,27183.8
14h-15h,8.3,27191.2
15h-16h,15.59,27368.5
16h-17h,29.39,27054.3
17h-18h,48.8,26646.5
18h-19h,60.7,25847.7
19h-20h,84.77,22325.1
20h-21h,106.18,20326.8
21h-22h,120.09,18264.9
22h-23h,141.94,17354.4
23h-24h,116.38,16576.2
