Hours,Price (€),Volume (MWh)
00h-01h,110.2,21438.3
01h-02h,108.83,19636.4
02h-03h,107.83,18408.5
03h-04h,108.33,17606.1
04h-05h,108.48,17221.0
05h-06h,108.95,17369.1
06h-07h,109.13,18164.8
07h-08h,111.43,19277.4
08h-09h,110.06,20554.6
09h-10h,106.23,21636.4
10h-11h,88.5,22702.2
11h-12h,75.97,23999.9
12h-13h,75.58,25496.9
13h-14h,75.0,26415.2
14h-15h,74.98,26887.7
15h-16h,68.43,26709.0
16h-17h,64.0,26483.7
17h-18h,73.99,26447.4
18h-19h,83.74,25561.8
19h-20h,108.31,24948.8
20h-21h,113.03,24346.3
21h-22h,142.48,23320.1
22h-23h,142.48,23122.3
23h-24h,117.0,22470.6
