Hours,Price (€),Volume (MWh)
00h-01h,107.94,15912.9
01h-02h,106.81,15261.2
02h-03h,104.22,15961.1
03h-04h,102.61,15350.7
04h-05h,101.92,14442.0
05h-06h,104.22,13422.3
06h-07h,101.5,14564.9
07h-08h,108.43,15254.4
08h-09h,101.92,17870.7
09h-10h,94.99,20542.5
10h-11h,65.0,22440.7
11h-12h,57.75,24428.6
12h-13h,57.21,25431.1
13h-14h,51.1,25863.2
14h-15h,50.77,26215.0
15h-16h,45.06,26218.7
16h-17h,45.06,25866.3
17h-18h,52.5,25498.1
18h-19h,75.0,23081.7
19h-20h,99.58,22563.0
20h-21h,105.0,19351.0
21h-22h,120.18,17693.7
22h-23h,131.98,17188.3
23h-24h,111.87,16177.8
