Hours,Price (€),Volume (MWh)
00h-01h,105.0,16514.7
01h-02h,101.78,15429.6
02h-03h,101.74,15249.7
03h-04h,100.0,14735.8
04h-05h,99.5,14738.5
05h-06h,99.92,14245.7
06h-07h,100.0,15080.1
07h-08h,107.34,16174.4
08h-09h,100.96,18379.3
09h-10h,90.69,20935.5
10h-11h,81.0,22263.4
11h-12h,68.49,25035.9
12h-13h,60.0,26047.8
13h-14h,54.19,26794.9
14h-15h,52.0,27306.9
15h-16h,50.98,27786.0
16h-17h,55.99,28221.4
17h-18h,57.61,27838.3
18h-19h,61.49,27134.7
19h-20h,84.19,24078.5
20h-21h,101.78,22911.8
21h-22h,109.55,20309.5
22h-23h,111.39,20664.8
23h-24h,97.15,18852.3
