Hours,Price (€),Volume (MWh)
00h-01h,101.98,20678.4
01h-02h,99.74,19442.9
02h-03h,96.02,18200.9
03h-04h,96.02,17639.0
04h-05h,98.62,17342.0
05h-06h,102.0,17246.0
06h-07h,103.92,17830.6
07h-08h,106.05,18891.3
08h-09h,102.5,20508.3
09h-10h,90.82,22143.4
10h-11h,70.7,24550.2
11h-12h,66.18,25894.9
12h-13h,70.0,26119.4
13h-14h,72.2,26352.3
14h-15h,74.14,26348.9
15h-16h,70.7,26393.4
16h-17h,70.7,26254.8
17h-18h,80.0,25386.8
18h-19h,84.32,24273.3
19h-20h,100.0,24321.3
20h-21h,106.57,23212.5
21h-22h,122.23,22241.5
22h-23h,110.0,21915.2
23h-24h,106.04,19681.9
