Hours,Price (€),Volume (MWh)
00h-01h,105.35,20901.0
01h-02h,100.0,19457.5
02h-03h,99.6,17986.0
03h-04h,100.84,17492.2
04h-05h,101.59,17106.5
05h-06h,103.82,16972.6
06h-07h,105.64,17366.3
07h-08h,110.61,18663.6
08h-09h,101.96,19379.2
09h-10h,75.04,20911.1
10h-11h,70.79,23201.0
11h-12h,70.02,24107.7
12h-13h,70.92,24534.8
13h-14h,71.05,24949.2
14h-15h,70.79,25180.9
15h-16h,63.37,24801.4
16h-17h,59.1,25618.6
17h-18h,59.33,25543.4
18h-19h,70.92,24223.4
19h-20h,86.93,22984.6
20h-21h,106.44,21931.6
21h-22h,116.52,21622.1
22h-23h,113.97,21426.4
23h-24h,107.74,19696.6
