Hours,Price (€),Volume (MWh)
00h-01h,65.53,18927.3
01h-02h,49.9,17689.2
02h-03h,39.69,17369.8
03h-04h,38.01,16996.8
04h-05h,37.75,16891.5
05h-06h,41.07,16971.9
06h-07h,55.0,17358.1
07h-08h,81.82,17687.6
08h-09h,61.66,22775.5
09h-10h,45.0,26975.9
10h-11h,35.0,27884.9
11h-12h,30.9,27552.7
12h-13h,26.79,27954.4
13h-14h,24.99,28165.2
14h-15h,17.95,28244.7
15h-16h,4.0,27275.8
16h-17h,4.0,26997.1
17h-18h,10.96,27204.6
18h-19h,35.0,27202.0
19h-20h,37.75,24891.4
20h-21h,74.64,22142.3
21h-22h,110.41,19300.5
22h-23h,109.45,18551.9
23h-24h,89.99,17586.4
