Hours,Price (€),Volume (MWh)
00h-01h,115.82,22977.7
01h-02h,112.14,21162.7
02h-03h,111.14,19864.0
03h-04h,112.14,18792.4
04h-05h,112.44,18550.5
05h-06h,113.03,18752.1
06h-07h,115.34,19385.2
07h-08h,118.48,20865.7
08h-09h,115.34,22046.3
09h-10h,111.14,23388.6
10h-11h,105.0,24043.5
11h-12h,86.1,24827.3
12h-13h,82.1,25395.1
13h-14h,81.97,26077.2
14h-15h,81.71,26469.6
15h-16h,80.01,26505.7
16h-17h,79.59,26504.8
17h-18h,79.8,26088.6
18h-19h,94.37,26206.8
19h-20h,111.14,25734.9
20h-21h,117.53,25411.3
21h-22h,142.48,23965.3
22h-23h,132.4,23765.2
23h-24h,116.98,23028.5
