Hours,Price (€),Volume (MWh)
00h-01h,108.33,18005.0
01h-02h,105.25,16525.8
02h-03h,98.88,15059.3
03h-04h,101.87,14447.7
04h-05h,101.87,14191.2
05h-06h,102.87,13992.5
06h-07h,104.07,14050.2
07h-08h,103.87,13728.3
08h-09h,70.0,15305.6
09h-10h,50.0,22103.8
10h-11h,0.44,23681.2
11h-12h,0.0,24490.9
12h-13h,0.0,25058.4
13h-14h,0.0,25847.1
14h-15h,0.0,25925.0
15h-16h,0.0,25293.9
16h-17h,0.0,24866.9
17h-18h,0.15,24989.5
18h-19h,41.26,25777.6
19h-20h,66.84,19318.7
20h-21h,105.47,18641.7
21h-22h,115.98,19655.2
22h-23h,125.5,20153.8
23h-24h,117.2,19567.0
