Hours,Price (€),Volume (MWh)
00h-01h,106.51,19238.2
01h-02h,108.47,18485.3
02h-03h,104.48,17209.3
03h-04h,106.09,16224.3
04h-05h,106.09,15836.5
05h-06h,106.09,15543.6
06h-07h,108.21,15980.6
07h-08h,107.71,16098.8
08h-09h,102.2,16448.1
09h-10h,72.96,18827.0
10h-11h,58.99,22829.3
11h-12h,58.5,24130.1
12h-13h,36.0,24901.9
13h-14h,17.8,25541.3
14h-15h,17.92,25960.7
15h-16h,18.8,26206.9
16h-17h,15.0,26139.9
17h-18h,31.51,25566.7
18h-19h,55.24,24766.1
19h-20h,67.84,21885.2
20h-21h,103.18,19836.4
21h-22h,117.92,19650.1
22h-23h,115.19,19389.0
23h-24h,104.61,18194.9
