Hours,Price (€),Volume (MWh)
00h-01h,101.78,17993.1
01h-02h,96.02,16744.2
02h-03h,92.23,15774.6
03h-04h,94.95,15225.3
04h-05h,96.25,14974.9
05h-06h,96.25,14908.8
06h-07h,107.0,16736.9
07h-08h,113.22,18175.3
08h-09h,105.7,19440.7
09h-10h,97.55,22910.0
10h-11h,93.65,23431.1
11h-12h,75.0,23150.6
12h-13h,71.38,25075.1
13h-14h,70.18,26494.9
14h-15h,70.0,26870.1
15h-16h,69.79,27017.2
16h-17h,69.66,26695.8
17h-18h,70.18,25963.6
18h-19h,87.69,23905.4
19h-20h,104.63,24688.6
20h-21h,115.75,23403.6
21h-22h,125.26,20277.3
22h-23h,127.0,19647.7
23h-24h,115.01,18655.0
