Hours,Price (€),Volume (MWh)
00h-01h,94.5,16975.6
01h-02h,90.9,15762.0
02h-03h,80.0,14824.0
03h-04h,77.98,14439.3
04h-05h,76.31,14147.0
05h-06h,82.0,13844.5
06h-07h,92.21,14777.1
07h-08h,96.11,16898.5
08h-09h,94.81,19065.1
09h-10h,63.37,21811.7
10h-11h,56.18,24406.8
11h-12h,54.99,25138.5
12h-13h,55.66,24536.7
13h-14h,56.05,24740.8
14h-15h,56.18,24913.8
15h-16h,55.92,25023.8
16h-17h,55.79,25048.6
17h-18h,56.31,24817.9
18h-19h,63.37,24370.9
19h-20h,91.32,23479.1
20h-21h,106.55,22908.6
21h-22h,133.58,21766.2
22h-23h,114.43,21550.8
23h-24h,104.21,19439.8
