Hours,Price (€),Volume (MWh)
00h-01h,81.66,16216.0
01h-02h,81.66,15141.0
02h-03h,81.42,14271.9
03h-04h,87.75,14359.2
04h-05h,88.2,14080.7
05h-06h,90.01,14284.1
06h-07h,95.33,15101.8
07h-08h,104.25,16658.6
08h-09h,91.43,17991.1
09h-10h,59.5,23114.3
10h-11h,35.01,25845.5
11h-12h,29.0,27353.2
12h-13h,7.44,28173.9
13h-14h,3.32,28466.4
14h-15h,3.32,28218.8
15h-16h,1.23,28360.1
16h-17h,3.32,28553.0
17h-18h,17.42,29878.3
18h-19h,38.0,28513.0
19h-20h,63.31,22274.4
20h-21h,82.7,19551.7
21h-22h,95.0,17250.8
22h-23h,106.33,16619.7
23h-24h,90.4,15319.8
