Hours,Price (€),Volume (MWh)
00h-01h,94.22,15524.6
01h-02h,83.79,15027.2
02h-03h,80.0,14643.9
03h-04h,72.0,15313.1
04h-05h,70.8,15365.5
05h-06h,65.65,14818.3
06h-07h,85.0,14300.0
07h-08h,99.77,16410.4
08h-09h,95.75,19067.1
09h-10h,76.0,23693.6
10h-11h,54.08,26393.5
11h-12h,40.25,27089.8
12h-13h,35.0,26411.5
13h-14h,21.34,26560.4
14h-15h,14.0,26624.2
15h-16h,8.68,26741.1
16h-17h,3.6,25885.9
17h-18h,12.17,25931.7
18h-19h,34.27,23824.7
19h-20h,35.02,23995.9
20h-21h,89.9,19874.2
21h-22h,107.51,17713.9
22h-23h,106.49,17234.0
23h-24h,95.66,16480.7
