Hours,Price (€),Volume (MWh)
00h-01h,113.64,19529.2
01h-02h,110.98,18055.5
02h-03h,106.91,16719.5
03h-04h,106.41,16092.7
04h-05h,106.91,15748.0
05h-06h,106.91,15492.2
06h-07h,109.15,16049.6
07h-08h,112.03,18117.0
08h-09h,112.46,19290.4
09h-10h,111.93,21319.3
10h-11h,111.41,22536.9
11h-12h,106.91,22638.0
12h-13h,104.31,23062.1
13h-14h,100.0,23528.4
14h-15h,99.09,23824.3
15h-16h,93.0,23933.4
16h-17h,93.56,23798.1
17h-18h,102.76,23278.7
18h-19h,106.41,23178.1
19h-20h,107.67,22920.4
20h-21h,112.22,23490.9
21h-22h,135.01,22772.3
22h-23h,129.0,22402.3
23h-24h,111.98,21368.9
