Hours,Price (€),Volume (MWh)
00h-01h,56.55,17626.1
01h-02h,48.95,16616.8
02h-03h,44.16,15827.2
03h-04h,44.9,15162.8
04h-05h,44.16,14565.5
05h-06h,56.55,14131.1
06h-07h,56.55,13810.4
07h-08h,56.68,13935.0
08h-09h,24.87,16197.2
09h-10h,-0.01,19077.2
10h-11h,-0.51,20567.1
11h-12h,-0.78,21321.8
12h-13h,-0.66,22110.7
13h-14h,-0.02,22832.4
14h-15h,-0.78,22406.0
15h-16h,-1.0,21398.7
16h-17h,-1.01,20656.3
17h-18h,0.0,23246.2
18h-19h,3.32,24278.7
19h-20h,35.94,22434.8
20h-21h,59.57,17804.9
21h-22h,100.73,14986.3
22h-23h,104.58,15495.8
23h-24h,100.25,14150.1
