Hours,Price (€),Volume (MWh)
00h-01h,90.22,18890.6
01h-02h,86.11,17606.6
02h-03h,75.9,16412.5
03h-04h,75.59,16455.5
04h-05h,79.0,16177.4
05h-06h,83.61,15798.8
06h-07h,86.22,15750.4
07h-08h,86.46,15988.9
08h-09h,50.01,18570.6
09h-10h,43.99,22376.0
10h-11h,10.0,25192.6
11h-12h,3.32,26186.4
12h-13h,0.44,26279.9
13h-14h,0.44,26598.1
14h-15h,0.0,26441.7
15h-16h,0.0,25625.8
16h-17h,0.0,24854.7
17h-18h,0.9,26897.3
18h-19h,30.51,27675.8
19h-20h,49.38,25534.8
20h-21h,75.45,21701.2
21h-22h,97.81,17889.3
22h-23h,107.48,17979.1
23h-24h,100.16,16737.0
