Hours,Price (€),Volume (MWh)
00h-01h,104.38,22242.2
01h-02h,100.0,20704.6
02h-03h,98.0,19542.2
03h-04h,99.07,18887.4
04h-05h,100.0,18565.9
05h-06h,102.43,18520.6
06h-07h,107.9,19442.1
07h-08h,110.62,20793.4
08h-09h,105.3,22227.1
09h-10h,92.57,23724.1
10h-11h,84.77,24056.1
11h-12h,76.0,24761.8
12h-13h,80.0,24733.2
13h-14h,82.0,24963.7
14h-15h,80.0,25184.7
15h-16h,75.8,25291.1
16h-17h,75.31,25291.2
17h-18h,75.99,25079.9
18h-19h,76.01,24679.8
19h-20h,99.07,26567.2
20h-21h,108.98,25092.4
21h-22h,124.11,24023.1
22h-23h,111.7,23569.6
23h-24h,107.11,21727.3
