Hours,Price (€),Volume (MWh)
00h-01h,89.61,14524.6
01h-02h,75.0,13844.3
02h-03h,60.31,15318.7
03h-04h,60.31,15219.3
04h-05h,59.79,15439.5
05h-06h,59.92,15746.5
06h-07h,66.56,14279.7
07h-08h,89.87,15435.9
08h-09h,82.15,17718.5
09h-10h,62.01,23848.1
10h-11h,39.49,25953.1
11h-12h,15.84,27469.5
12h-13h,6.06,28224.3
13h-14h,3.74,28931.1
14h-15h,3.9,29508.2
15h-16h,7.48,30120.1
16h-17h,5.99,29939.2
17h-18h,14.0,29658.0
18h-19h,40.0,28547.7
19h-20h,60.0,26891.7
20h-21h,80.0,20092.3
21h-22h,108.78,18074.9
22h-23h,109.37,17740.2
23h-24h,94.7,16748.9
