Hours,Price (€),Volume (MWh)
00h-01h,67.98,17941.1
01h-02h,49.77,19538.2
02h-03h,42.26,19042.3
03h-04h,43.41,18325.6
04h-05h,35.35,18124.6
05h-06h,30.8,17873.5
06h-07h,32.0,17526.1
07h-08h,34.57,17729.7
08h-09h,25.07,22340.6
09h-10h,0.49,24798.6
10h-11h,0.0,26287.8
11h-12h,0.0,25885.8
12h-13h,-0.01,25121.6
13h-14h,-0.1,25073.0
14h-15h,-0.25,25006.5
15h-16h,-0.01,25953.1
16h-17h,0.0,26700.8
17h-18h,0.0,25541.2
18h-19h,0.1,26933.5
19h-20h,25.06,25689.1
20h-21h,59.0,19786.1
21h-22h,95.0,18760.3
22h-23h,95.44,19176.2
23h-24h,93.98,17644.9
