Hours,Price (€),Volume (MWh)
00h-01h,108.49,20615.5
01h-02h,106.37,18985.0
02h-03h,103.99,17841.0
03h-04h,103.98,17305.8
04h-05h,103.98,16928.7
05h-06h,105.87,16872.2
06h-07h,109.8,17728.0
07h-08h,116.22,18091.3
08h-09h,108.85,20368.6
09h-10h,101.0,21995.3
10h-11h,95.46,23273.1
11h-12h,83.8,23533.8
12h-13h,80.35,23856.7
13h-14h,78.59,24488.9
14h-15h,77.92,25118.3
15h-16h,75.0,25293.0
16h-17h,68.72,24987.0
17h-18h,78.05,24798.9
18h-19h,85.06,24231.7
19h-20h,98.1,24111.0
20h-21h,111.9,22225.5
21h-22h,121.22,20419.5
22h-23h,114.94,18959.0
23h-24h,109.11,18858.9
