Hours,Price (€),Volume (MWh)
00h-01h,85.0,16229.8
01h-02h,71.32,16909.7
02h-03h,74.44,16025.6
03h-04h,62.7,15944.7
04h-05h,56.5,16077.3
05h-06h,60.3,16136.0
06h-07h,70.0,16656.3
07h-08h,75.6,16504.1
08h-09h,73.72,20026.3
09h-10h,49.0,24731.3
10h-11h,41.75,28325.6
11h-12h,41.36,29293.9
12h-13h,41.49,29664.1
13h-14h,41.49,29970.9
14h-15h,41.1,30159.7
15h-16h,36.03,30227.5
16h-17h,24.45,30000.8
17h-18h,38.36,29635.8
18h-19h,41.49,28811.3
19h-20h,52.2,26440.1
20h-21h,75.58,21648.7
21h-22h,89.93,19389.2
22h-23h,87.0,18728.8
23h-24h,79.97,17543.9
